,Name,Symbol,Date,Close/Last,Volume,Open,High,Low
0,"Meta, Inc.",META,12/01/2022,120.44,36551370,19.198,21.2,18.4
1,"Meta, Inc.",META,11/30/2022,118.1,43348560,09.505,18.16,09.38
2,"Meta, Inc.",META,11/29/2022,109.46,23899240,09.54,10.94,08.5437
3,"Meta, Inc.",META,11/28/2022,108.78,23332820,10.78,12.04,08.38
4,"Meta, Inc.",META,11/25/2022,111.41,12007570,11.3,12.73,11.02
5,"Meta, Inc.",META,11/23/2022,112.24,21343080,11.72,12.67,10.73
6,"Meta, Inc.",META,11/22/2022,111.44,29028960,09.86,11.62,08.3216
7,"Meta, Inc.",META,11/21/2022,109.86,24351070,11.52,12.3699,09.19
8,"Meta, Inc.",META,11/18/2022,112.05,33357710,13.8,14.32,10.62
9,"Meta, Inc.",META,11/17/2022,111.45,35093820,10.41,12.33,09.8
10,"Meta, Inc.",META,11/16/2022,113.23,33287770,14.5,16.075,12.66
11,"Meta, Inc.",META,11/15/2022,117.08,50670500,16.07,18.74,14.4116
12,"Meta, Inc.",META,11/14/2022,114.22,53394970,10.99,16.27,10.8
13,"Meta, Inc.",META,11/11/2022,113.02,59961740,09.23,14.9,08.81
14,"Meta, Inc.",META,11/10/2022,111.87,80670960,07.12,12.75,04.61
15,"Meta, Inc.",META,11/09/2022,101.47,107677300,01.72,04.9,00.74
16,"Meta, Inc.",META,11/08/2022,96.47,52088320,5.92,7.8,4.79
17,"Meta, Inc.",META,11/07/2022,96.72,81987300,4.78,6.88,3.1
18,"Meta, Inc.",META,11/04/2022,90.79,55638060,0.35,1.39,8.09
19,"Meta, Inc.",META,11/03/2022,88.91,60664010,0.08,0.4576,8.41
20,"Meta, Inc.",META,11/02/2022,90.54,71821060,4.205,5.2,0.48
21,"Meta, Inc.",META,11/01/2022,95.2,110189600,4.33,7.49,3.55
22,"Meta, Inc.",META,10/31/2022,93.16,121361400,8.22,9.32,2.6
23,"Meta, Inc.",META,10/28/2022,99.2,95928310,9.58,00.85,7.51
24,"Meta, Inc.",META,10/27/2022,97.94,232316600,7.975,02.5,6.38
25,"Meta, Inc.",META,10/26/2022,129.82,89294680,31.68,35.55,28.53
26,"Meta, Inc.",META,10/25/2022,137.51,38433220,30.875,38.35,30.59
27,"Meta, Inc.",META,10/24/2022,129.72,63563450,27.25,33.48,24.57
28,"Meta, Inc.",META,10/21/2022,130.01,46348650,26.31,30.12,25.44
29,"Meta, Inc.",META,10/20/2022,131.53,26356280,32.93,36.77,31.31
30,"Meta, Inc.",META,10/19/2022,133.23,30691050,32.89,37,32.22
31,"Meta, Inc.",META,10/18/2022,132.8,25444980,37.085,37.8399,31.4
32,"Meta, Inc.",META,10/17/2022,134.04,29612250,30.3,34.79,30.18
33,"Meta, Inc.",META,10/14/2022,126.76,23559410,31,31.79,26.52
34,"Meta, Inc.",META,10/13/2022,130.29,34325720,23.53,31.14,22.5301
35,"Meta, Inc.",META,10/12/2022,127.5,34605250,28.32,29.67,26.25
36,"Meta, Inc.",META,10/11/2022,128.54,38481400,31.62,32.66,26.99
37,"Meta, Inc.",META,10/10/2022,133.79,24023980,33.55,36.11,31.87
38,"Meta, Inc.",META,10/07/2022,133.45,33214770,36.76,38.29,32.44
39,"Meta, Inc.",META,10/06/2022,139.07,36231060,37.715,41.45,36.6
40,"Meta, Inc.",META,10/05/2022,138.98,27979350,38.24,40.21,34.78
41,"Meta, Inc.",META,10/04/2022,140.28,34670730,40.49,42.3901,39.34
42,"Meta, Inc.",META,10/03/2022,138.61,27723060,37.14,39.62,36.1
43,"Meta, Inc.",META,09/30/2022,135.68,33166390,36.05,40.99,35.5
44,"Meta, Inc.",META,09/29/2022,136.41,38985410,39.36,39.84,35.2
45,"Meta, Inc.",META,09/28/2022,141.61,32658480,34.62,42.03,34.27
46,"Meta, Inc.",META,09/27/2022,134.4,30826470,37.92,39.42,34.1201
47,"Meta, Inc.",META,09/26/2022,136.37,30497020,40.12,42.24,36.19
48,"Meta, Inc.",META,09/23/2022,140.41,31710690,41.42,42.62,38.89
49,"Meta, Inc.",META,09/22/2022,142.82,34418520,41.55,44.58,40.87
50,"Meta, Inc.",META,09/21/2022,142.12,38338610,46.39,49.6,42
51,"Meta, Inc.",META,09/20/2022,146.09,23217350,45.775,48.84,45.22
52,"Meta, Inc.",META,09/19/2022,148.02,22169480,45.235,48.58,45.1
53,"Meta, Inc.",META,09/16/2022,146.29,40122820,48.05,48.58,44.2935
54,"Meta, Inc.",META,09/15/2022,149.55,34606350,49.8,54.1984,48.7
55,"Meta, Inc.",META,09/14/2022,151.47,43064200,53.33,53.54,49.05
56,"Meta, Inc.",META,09/13/2022,153.13,44444060,61.54,61.63,52.67
57,"Meta, Inc.",META,09/12/2022,168.96,23220410,67.39,71.39,67.28
58,"Meta, Inc.",META,09/09/2022,169.15,22129800,63.248,69.54,63.02
59,"Meta, Inc.",META,09/08/2022,162.06,22530790,58.71,62.23,57.74
60,"Meta, Inc.",META,09/07/2022,160.39,16831180,57.76,60.955,56.81
61,"Meta, Inc.",META,09/06/2022,158.54,19339780,60.1,61.69,57.69
62,"Meta, Inc.",META,09/02/2022,160.32,22634190,67.45,67.93,59.22
